title,year_released,rating,category
"Μπότες, Σπιρούνια και Καυτές Σέλες",1974,7.7,"Comedy, Western"
Ενα Παράξενο Ζευγάρι,1968,7.7,Comedy
The Ladykillers,1955,7.7,"Comedy, Crime"
"Γλυκιά μου, Σαμπρίνα",1954,7.7,"Comedy, Drama, Romance"
Κάποτε στο Χόλλυγουντ,2019,7.6,"Comedy, Drama"
Το Γεράκι του Φιστικοβούτυρου,2019,7.6,"Adventure, Comedy, Drama"
Φύλακες του Γαλαξία 2,2017,7.6,"Action, Adventure, Comedy"
Βαϊάνα,2016,7.6,"Animation, Adventure, Comedy"
Philomena,2013,7.6,"Biography, Comedy, Drama"
"Εγώ, ο Απαισιότατος",2010,7.6,"Animation, Adventure, Comedy"
50/50,2011,7.6,"Comedy, Drama, Romance"
Zombieland,2009,7.6,"Adventure, Comedy, Fantasy"
O stathmos,2003,7.6,"Comedy, Drama"
Οικογένεια Τενενμπάουμ,2001,7.6,"Comedy, Drama"
American Psycho,2000,7.6,"Comedy, Crime, Drama"
Φόβος και παράνοια στο Λας Βέγκας,1998,7.6,"Adventure, Comedy, Drama"
Τρία χρώματα: Η λευκή ταινία,1994,7.6,"Comedy, Drama, Romance"
Νεανικά μπερδέματα,1993,7.6,Comedy
Το ξαδερφάκι μου ο Βίνι,1992,7.6,"Comedy, Crime"
Ντελικατέσεν,1991,7.6,"Comedy, Crime"
Μόνος στο σπίτι,1990,7.6,"Comedy, Family"
Όταν ο Χάρυ γνώρισε τη Σάλυ,1989,7.6,"Comedy, Drama, Romance"
Τρελές σφαίρες,1988,7.6,"Comedy, Crime"
Ο Φίλος μου κι Εγώ,1987,7.6,"Comedy, Drama"
Οι απίθανοι Μάππετ κοντά σας,1979,7.6,"Adventure, Comedy, Family"
Ο Μεγάλος Αποχαιρετισμός,1973,7.6,"Comedy, Crime, Drama"
Ήρωες με βρώμικα χέρια,1970,7.6,"Adventure, Comedy, War"
Ξεφάντωμα με τους Μπιτλς,1964,7.6,"Comedy, Musical"
Πρόγευμα στο Τίφανις,1961,7.6,"Comedy, Drama, Romance"
