Title,Year Released,Rating,Category
Ο Δολοφόνος με το Αγγελικό Πρόσωπο,1967,8.1,"Crime, Drama, Mystery"
Ο μεγάλος δραπέτης,1967,8.1,"Crime, Drama"
Έρωτες χωρίς φραγμό,1966,8.1,"Drama, Thriller"
Αντρέι Ρουμπλιόφ,1966,8.1,"Biography, Drama, History"
Η μάχη του Αλγερίου,1966,8.1,"Drama, War"
Ο εξολοθρευτής άγγελος,1962,8.1,"Drama, Fantasy"
Τι απέγινε η Μπέιμπι Τζέιν;,1962,8.1,"Drama, Horror, Thriller"
Sanjuro,1962,8.1,"Action, Comedy, Crime"
Ο άνθρωπος που σκότωσε τον Λίμπερτι Βάλανς,1962,8.1,"Drama, Western"
Τα παιδικά χρόνια του Ιβάν,1962,8.1,"Drama, War"
Η Πηγή των Παρθένων,1960,8.1,Drama
Κληρονομήστε τον άνεμο (1960),1960,8.1,"Biography, Drama, History"
Τα 400 χτυπήματα,1959,8.1,"Crime, Drama"
Μπεν Χουρ,1959,8.1,"Adventure, Drama, History"
Kakushi-toride no san-akunin,1958,8.1,"Adventure, Drama"
Νύχτες της Καμπίρια,1957,8.1,Drama
Ο θρόνος του αίματος,1957,8.1,"Drama, History"
Η γέφυρα του ποταμού Κβάι,1957,8.1,"Adventure, Drama, War"
Ριφιφί,1955,8.1,"Crime, Drama, Thriller"
Το λιμάνι της αγωνίας,1954,8.1,"Crime, Drama, Thriller"
Οι Διαβολογυναίκες,1955,8.1,"Crime, Drama, Horror"
Το Μεροκάματο του Τρόμου,1953,8.1,"Adventure, Drama, Thriller"
Το τελευταίο ατού,1951,8.1,"Drama, Film-Noir"
O megalos amartolos,1949,8.1,"Action, Crime, Drama"
Ο τρίτος άνθρωπος,1949,8.1,"Film-Noir, Mystery, Thriller"
Τα Κόκκινα Παπούτσια,1948,8.1,"Drama, Music, Romance"
Τα καλύτερα χρόνια της ζωής μας,1946,8.1,"Drama, Romance, War"
Ερωτική φωλιά,1940,8.1,"Comedy, Drama, Romance"
Ρεβέκκα,1940,8.1,"Drama, Mystery, Romance"
Τα σταφύλια της οργής,1940,8.1,"Drama, History"
"Αμερική, η χώρα της ελευθερίας",1939,8.1,"Comedy, Drama"
Όσα παίρνει ο άνεμος,1939,8.1,"Drama, History, Romance"
Η Μεγάλη Χίμαιρα,1937,8.1,"Drama, War"
Συνέβη μια νύχτα,1934,8.1,"Comedy, Romance"
Ουδέν νεώτερον από το δυτικό μέτωπο,1930,8.1,"Drama, War"
Το Πάθος της Ζαν ντ' Αρκ,1928,8.1,"Biography, Drama, History"
Ο Σαρλώ στο τσίρκο,1928,8.1,"Comedy, Romance"
Η αυγή,1927,8.1,"Drama, Romance"
Ο στρατηγός,1926,8.1,"Action, Adventure, Comedy"
Το εργαστήρι του Δρ.Καλιγκάρι,1920,8.1,"Fantasy, Horror, Mystery"
Badhaai ho,2018,8.0,"Comedy, Drama"
Togo,2019,8.0,"Adventure, Biography, Drama"
Airlift,2016,8.0,"Drama, History"
Bajrangi Bhaijaan,2015,8.0,"Action, Adventure, Comedy"
Baby,2015,8.0,"Action, Thriller"
La La Land,2016,8.0,"Comedy, Drama, Music"
Lion,2016,8.0,"Biography, Drama"
Η διάσωση,2015,8.0,"Adventure, Drama, Sci-Fi"
Ζωούπολη,2016,8.0,"Animation, Adventure, Comedy"
Bãhubali: The Beginning,2015,8.0,"Action, Drama"
Η Ιστορία της Πριγκίπισσας Kaguya,2013,8.0,"Animation, Adventure, Drama"
Θαύμα,2017,8.0,"Drama, Family"
Special Chabbis,2013,8.0,"Crime, Drama, Thriller"
Short Term 12,2013,8.0,Drama
Επιχείρηση: Χάος 2,2014,8.0,"Action, Crime, Thriller"
Το παιχνίδι της μίμησης,2014,8.0,"Biography, Drama, Thriller"
Φύλακες του γαλαξία,2014,8.0,"Action, Adventure, Comedy"
Blade Runner 2049,2017,8.0,"Action, Drama, Mystery"
Δικός της,2013,8.0,"Drama, Romance, Sci-Fi"
Η επιστροφή,2015,8.0,"Action, Adventure, Drama"
Οι επίλεκτοι 2,2010,8.0,"Action, Crime, Drama"
Ο λόγος του βασιλιά,2010,8.0,"Biography, Drama, History"
Υπηρέτριες,2011,8.0,Drama
Deadpool,2016,8.0,"Action, Adventure, Comedy"
Darbareye Elly,2009,8.0,"Drama, Mystery"
Dev.D,2009,8.0,"Comedy, Drama, Romance"
Ip Man: Η γέννηση του θρύλου,2008,8.0,"Action, Biography, Drama"
My Name Is Khan,2010,8.0,Drama
Nefes: Vatan Sagolsun,2009,8.0,"Action, Drama, Thriller"
Slumdog Millionaire,2008,8.0,"Drama, Romance"
Μαύρος κύκνος,2010,8.0,"Drama, Thriller"
Οι επίλεκτοι,2007,8.0,"Action, Crime, Drama"
Οι Εκδικητές,2012,8.0,"Action, Adventure, Sci-Fi"
Persepolis,2007,8.0,"Animation, Biography, Drama"
Dallas Buyers Club,2013,8.0,"Biography, Drama"
Το κυνήγι της ευτυχίας,2006,8.0,"Biography, Drama"
Ματωμένο διαμάντι,2006,8.0,"Adventure, Drama, Thriller"
Το τελεσίγραφο του Μπορν,2007,8.0,"Action, Adventure, Mystery"
Ολομόναχοι μαζί,2004,8.0,"Crime, Drama, Romance"
Αμαρτωλή Πόλη,2005,8.0,"Crime, Thriller"
Το Σκάφανδρο Και Η Πεταλούδα,2007,8.0,"Biography, Drama"
Taegukgi hwinalrimyeo,2004,8.0,"Action, Drama, War"
G.O.R.A.,2004,8.0,"Adventure, Comedy, Sci-Fi"
Ο Ρατατούης,2007,8.0,"Animation, Adventure, Comedy"
Casino Royale,2006,8.0,"Action, Adventure, Thriller"
Kill Bill: Vol. 2,2004,8.0,"Action, Crime, Thriller"
Η επιστροφή,2003,8.0,Drama
"Άνοιξη, καλοκαίρι, φθινόπωρο, χειμώνας... και άνοιξη",2003,8.0,"Drama, Romance"
Η θάλασσα μέσα μου,2004,8.0,"Biography, Drama"
Cinderella Man,2005,8.0,"Biography, Drama, History"
Σατανικές υποθέσεις,2002,8.0,"Action, Crime, Drama"
Οι πειρατές της Καραϊβικής: Η κατάρα του Μαύρου Μαργαριταριού,2003,8.0,"Action, Adventure, Fantasy"
Απίθανες ιστορίες,2003,8.0,"Adventure, Drama, Fantasy"
Οι απίθανοι,2004,8.0,"Animation, Action, Adventure"
Yeopgijeogin geunyeo,2001,8.0,"Comedy, Drama, Romance"
Dogville,2003,8.0,"Crime, Drama"
Vizontele,2001,8.0,"Comedy, Drama"
Donnie Darko,2001,8.0,"Drama, Mystery, Sci-Fi"
Μανόλια,1999,8.0,Drama
Χορεύοντας στο σκοτάδι,2000,8.0,"Crime, Drama, Musical"
The Straight Story,1999,8.0,"Biography, Drama"
Τέλειο Μπλε,1997,8.0,"Animation, Crime, Mystery"
Κεντρικός σταθµός,1998,8.0,Drama
Ο Σιδερένιος Γίγαντας,1999,8.0,"Animation, Action, Adventure"
Sling Blade,1996,8.0,Drama
Μυστικά και ψέματα,1996,8.0,"Comedy, Drama"
Οι δώδεκα πίθηκοι,1995,8.0,"Mystery, Sci-Fi, Thriller"
Kôkaku Kidôtai,1995,8.0,"Animation, Action, Crime"
Χριστουγεννιάτικος εφιάλτης,1993,8.0,"Animation, Family, Fantasy"
Η μέρα της μαρμότας,1993,8.0,"Comedy, Fantasy, Romance"
Δεσμοί αίματος,1993,8.0,"Crime, Drama"
Άρωμα Γυναίκας,1992,8.0,Drama
Αλαντίν,1992,8.0,"Animation, Adventure, Comedy"
JFK: H ιστορία που χαράχτηκε στη μνήμη μας,1991,8.0,"Drama, History, Thriller"
Η πεντάμορφη και το τέρας,1991,8.0,"Animation, Family, Fantasy"
Χορεύοντας με τους λύκους,1990,8.0,"Adventure, Drama, Western"
Κάνε το Σωστό,1989,8.0,"Comedy, Drama"
